3.660159301757812500e+02,6.396108865737915039e+00
3.432321777343750000e+02,5.747004151344299316e+00
3.163699340820312500e+02,5.240714550018310547e+00
2.901002197265625000e+02,4.818860888481140137e+00
2.651731567382812500e+02,4.477879405021667480e+00
2.417660522460937500e+02,4.216717779636383057e+00
2.199045715332031250e+02,4.022520184516906738e+00
1.995658874511718750e+02,3.878571093082427979e+00
1.807050628662109375e+02,3.770120739936828613e+00
1.632685852050781250e+02,3.686258494853973389e+00
1.471978302001953125e+02,3.619778752326965332e+00
1.324300537109375000e+02,3.566347062587738037e+00
1.188999481201171875e+02,3.523537516593933105e+00
1.065401382446289062e+02,3.489925265312194824e+00
9.528204345703125000e+01,3.464357554912567139e+00
8.505714416503906250e+01,3.445544838905334473e+00
7.579758453369140625e+01,3.431994020938873291e+00
6.743692779541015625e+01,3.422174155712127686e+00
5.991069793701171875e+01,3.414730429649353027e+00
5.315639114379882812e+01,3.408627510070800781e+00
